federation_level,x,x_translation,y
France,Помогите найти жильё возле Лиона (на 3-4 месяца) Я (женщина 39 лет) + сын 16 лет и сестра беременная на 7 месяце🙏,Please help me find accommodation near Lyon (for 3-4 months). I (a 39-year-old woman) have a 16-year-old son and a pregnant sister who is 7 months along. 🙏,
Germany,Страховка AOK выданная здесь украинцам и оплачиваемая Джобцентром действует на территории всего ЕС или только в Германии? Кто знает?,Hello. Does the AOK insurance issued here for Ukrainians and paid for by the Job Center work throughout the EU or only in Germany? Who knows? ,
Poland,Здравствуйте. Как обстановка в поездах одесса-ужгород? Безопасно ли там? Ответьте пожалуйста кто может,Hello. What is the situation like on the trains from Odessa to Uzhgorod? Is it safe there? Please answer if possible.,
Spain,"Карту чтобы иметь доступ к медицине, провести плановый осмотр ребёнка например. Вроде она как SIP называется.","To have access to medical care, for example, to conduct a scheduled examination of a child, you need a card called SIP.",
Spain,"У нас в 12лет не было никаких плановых прививок. В Киеве делали только пробы манту (До этого возраста ни одну прививку не пропускали) Нам 14 лет . Подскажите пожалуйста , может кто в курсе какая следующая прививка и в каком возрасте? Заранее спасибо","Hello. We haven't had any scheduled vaccinations since we were 12 years old. In Kyiv, only Mantoux tests were done (we didn't miss any vaccinations before that age). We are 14 years old. Please advise, maybe someone knows what the next vaccination is and at what age? Thank you in advance.",
Spain,"Добрый день, нужна помощь по открытию банковского счёта: подскажите, какая перечень документов необходима для этого и какой банк лучше всего выбрать?","Hello, I need help opening a bank account: can you tell me what documents are required for this and which bank is the best to choose?",
Spain,"В банках и кассах банков партнеров. В Украине их нет. Польша, Чехия и тп ближайшие. Но рассчитываться картой сможете без проблем.","In banks and partner bank cash desks. There are none in Ukraine. Poland, Czech Republic, and other nearby countries have them. But you can pay with a card without any problems.",
Germany,"Доброго времени, Нужен врачь для ребёнка хирург травмотолог, Кто подскажет больницу,если есть рускоязычный,Хомбург или по земле Саар,Благодарю","Good day. I need a surgeon traumatologist for a child. Can anyone recommend a hospital, preferably with a Russian-speaking doctor, in Homburg or in the Saar region? Thank you.",
Poland,"Всем Доброго Утра!!! Варшава!!!Прошу помощи в нахождении жилья,мы 4 взрослые девушки +девочка подросток,не за бесплатно,но, и не за все деньги мира.","Good morning!!! Warsaw!!! I am asking for help in finding accommodation, we are 4 adult girls + a teenage girl, not for free, but not for all the money in the world.",
Switzerland,"По Германии бесплатно внутренние поезда (типа электричек), скоростные платные, но если вы впервые вьезжаете, то можно получить бесплатный билет (посмотрите на сайте DB условия)","Free inner trains (like electric trains) are available in Germany, while high-speed trains are paid. However, if you are entering for the first time, you can get a free ticket (check the DB website for conditions).",
Switzerland,"Здравтствуйте Я получили статус S, зарегистрирован за кантоном Ааргау. Скажите, если мне нужны контактные линзы, как их можно получить бесплатно по страховке, или подскажите, где их можно купить недорого","Hello, I have received status S and registered with the canton of Aargau. Can you tell me how I can get contact lenses for free through insurance or where I can buy them inexpensively? ",
Spain,Вітаю. Хтось вже робив продовження або виготовлення нових дитячих біометричних паспортів в українському консульстві у Малазі? Яка процедура та алгоритм дій?,Hello. Has anyone already renewed or made new children's biometric passports at the Ukrainian consulate in Malaysia? What is the procedure and algorithm of actions?,
Switzerland,"Здравствуйте. Подскажите, пожалуйста, где в Альштатен центр регистрации беженцев? Один сегодня закрыт, но человеку нужно где-то остаться до понедельника. Куда можно пойти? Спасибо.","Hello. Please tell me where the refugee registration center is in Altenstadt? One is closed today, but a person needs somewhere to stay until Monday. Where can they go? Thank you.",
France,"Добрый вечер. Подскажите пожалуйста, оформляла медицинскую страховку 16 апреля, до сих пор ничего не пришло на почту. Это нормально?","Good evening. Please tell me, I applied for medical insurance on April 16th, but I haven't received anything in the mail yet. Is this normal?",
France,"Писали здесь, что если зарезервировать заранее льготный билет и показать на входе временную защиту - бесплатный вход.","""If you reserve a discounted ticket in advance and show temporary protection at the entrance, you can enter for free."" ",
Spain,"Es lo mismo. Tarjeta Identificación Extranjero (TIE). Tiene un epígrafe especial por el número de refugiados que hay en este momento, por nada más.","It's the same. Foreigner Identification Card (TIE). It has a special section for the number of refugees at the moment, and nothing else.",
Germany,"Здравствуйте, подскажите какие города сейчас принимают беженцев и до какого числа можно въехать? Заранее Спасибо ☺️","Hello, can you tell me which cities are currently accepting refugees and until what date it is possible to enter? Thank you in advance ☺️",
Switzerland,"114 , на дом не ходят, только экстренный случай. Скорая помощь платная ~ 900 fr. По возможности добираться самостоятельно до госпиталя. Все в одной очереди, можно и 7 часов прождать.","Hello. They do not visit homes, only in emergency cases. Ambulance is paid ~ 900 fr. If possible, try to get to the hospital on your own. Everyone is in the same line, you may have to wait for 7 hours.",
Spain,"Разрешение на работу предоставляется всем беженцам и находящимся под защитой. Вам выдадут документы, не надо специально оформлять","Work permits are provided to all refugees and those under protection. You will be issued documents, no need to apply separately.",
Czech Republic,"Здравствуйте, подскажите пожалуйста если снимать квартиру в Праге, то за сколько месяцев надо оплачивать, какой залог?","Hello, please tell me if I rent an apartment in Prague, how many months do I need to pay for and what is the deposit?",
Spain,"Підкажіть будь-ласка чи дійсно на внутрішні рейси не потрібен антиген-тест по Ковіду? Мені авіалінії пишуть що нічого не потрібно, а я щось в цьому сумніваюсь… В мене 2 вакцини і міжнародний сертифікат від України до 30.06, летіти на днях треба.","Please tell me if it is really not necessary to have an antigen test for domestic flights? The airline writes to me that nothing is needed, but I doubt it... I have 2 vaccines and an international certificate from Ukraine until June 30, I need to fly in a few days.",
Switzerland,"Друзі! Застрягли в Парижі. Не має квитків безкоштовних. Підкажіть будь ласка, хто добирався. Писали колись тут у групі, що є якісь поїзди безкоштовні.",Friends! We are stuck in Paris. We don't have any free tickets. Please advise who has made it. Someone wrote here in the group that there are some free trains.,
Czech Republic,"Добрий вечір !Може у когось є інформація щодо житла в Страконіце ,Чехія?Треба для 2-х дорослих і дитини .Було би добре якщо в гуртожитку..Так як поїдемо ,а нікого в нас там немає ,переживаємо ,щоб було житло 😔 Та чи є зараз волонтери на кордоні України ? Буду вдячна за відповідь .","Good evening! Does anyone have information about accommodation in Strakonice, Czech Republic? We need it for 2 adults and a child. It would be good if it's in a dormitory. Since we are going there and we don't know anyone there, we are worried about having a place to stay. Also, are there any volunteers at the border of Ukraine now? I would be grateful for an answer.",
Switzerland,Я отправляла в SBB..не знаю кто взымается комиссию. Но вышло так ..что б отправить 100..30 комиссия. И обязательно отправляйте в евро или долларах. Ибо не все банки Украины работают с франками. Может быть проблема с получением.,I sent money to SBB...I don't know who charges the commission. But it turned out that to send 100...30 commission. And be sure to send in euros or dollars. Because not all banks in Ukraine work with francs. There may be a problem with receiving.,
Switzerland,"Добрый день. Помогите пожалуйста найти временное жильё в Берне . Семья 3 чел.,2 женщины 46 и 66 лет ,подросток 14лет ,собачка такса .","Good day. Please help me find temporary accommodation in Bern. Family of 3, 2 women aged 46 and 66, a 14-year-old teenager, and a dachshund dog.",
Spain,"1) Мадрид, Барселона, Валенсия или Аликанте 2) Муж / Жена и Ребёнок 3) с 25 Сентября долги срок 4) Квартира 5) рассчитываем на +/- 650 евро","Hello. We are a family of three (husband, wife, and child) looking for an apartment in Madrid, Barcelona, Valencia, or Alicante from September 25th for a long term stay. We can afford around 650 euros per month. Thank you.",
Spain,"Друзья! Помогите , не могу найти информацию по РЕНФЕ. Есть , может сылка на информацию ? Уже нельзя взять билеты бесплатно? Спасибо заранее","Friends! Help me, I can't find information about RENFE. Is there a link to information? Can't you get free tickets anymore? Thank you in advance.",
Spain,"Подскажите пожалуйста. Ребенку нужно нарастить зуб. Мы уже с документами. Но я так понимаю, что это не входит в страховку. Тоесть нам нужно обращаться в любую частную зубную клинику? Может подскажете, где в Мадриде есть для украинцев услуги детского зубного врача по неполной стоимости?",Please advise. We need to grow a tooth for a child. We already have the documents. But I understand that this is not covered by insurance. So do we need to contact any private dental clinic? Can you suggest where in Madrid there are services of a children's dentist for Ukrainians at a reduced cost?,
Germany,"Добрый день, подскажите пожалуйста, если не закрою сейчас счёт в банке Шпаркассе и уеду в Украину, я смогу как-то его закрыть дистанционно или только при личном визите в банк?","Hello, please tell me, if I don't close my account in Sparkasse bank now and leave for Ukraine, will I be able to close it remotely or only with a personal visit to the bank?",
Poland,"Подскажите, на руках есть наличные ГРИВНЫ. Я в Польше, какие есть варианты их поменять на валюту или пополнить украинскую карту?","Please advise, I have cash in Hryvnia. I am in Poland, what are the options to exchange them for currency or top up a Ukrainian card?",
Germany,"Подскажите пожалуйста, насколько я понимаю многие открыли счета в Sparkasse. На чем основан выбор? Почему именно этот банк?","Please tell me, as far as I understand, many people have opened accounts at Sparkasse. What is the basis for the choice? Why this bank in particular?",
France,"Добрый день! Подскажите, если я отец-одиночка, ребёнку 11 лет, есть свидетельство о рождения и свидетельство о смерти, загранпаспорта у ребёнка нет, у меня биометрия. В старом паспорте ребёнок вписан, а в новом нет. Нас пропустят?","Hello! If I am a single father with an 11-year-old child, and I have a birth certificate and a death certificate, but the child does not have a passport, and I have a biometric passport. The child is listed in the old passport, but not in the new one. Will they let us through? ",
Spain,"Ми на цьому тижні їздили потягами Ренфе у справах, квитки у касі отримали безкоштовно в день від'їзду в обох напрямках. Деякі пишуть, що питають за причину для безкоштовного проїзду, але в нас не запитували, ми надали українські закордонні паспорти та нам вибили білети","We traveled by Renfe trains this week for business, we received free tickets at the ticket office on the day of departure in both directions. Some people write that they ask for a reason for free travel, but they did not ask us, we provided Ukrainian foreign passports and they issued us tickets.",
Portugal,"Good day. We are a family from Kyiv, 2 adults and 3 children, on March 23 our plane lands in Lisbon. We are looking for apartment for rent in Portugal (long term), with 2-3 bedrooms, preferably near the school, we consider different cities. Budget 500-800 € per month.","Good day. We are a family from Kyiv, 2 adults and 3 children, on March 23 our plane lands in Lisbon. We are looking for apartment for rent in Portugal (long term), with 2-3 bedrooms, preferably near the school, we consider different cities. Budget 500-800 € per month.",
France,"Подскажите пожалуста,для беженцев, сказали можно пойти на биржу труда и получить деньги в виду чеков, это правда?",Can you please advise if it is true that refugees can go to the labor exchange and receive money in the form of checks? ,
Belgium,"Мы обращались к семейному врачу которого соц работник нашёл, русскоговорящая. Она пока полную стоимость брала, так как пока не получили карту А и нет у нас страховки.","We consulted a family doctor who was found by a social worker and speaks Russian. She charged us the full cost for now, as we have not yet received card A and do not have insurance.",
Spain,"1) Мадрид, Валенсия или Аликанте 2) 3 девушки (я и ещё 2) 3) с 14 марта на месяц 4) Квартира 5) рассчитываем на +/- 650 евро","Madrid, Valencia or Alicante. 3 girls (me and 2 more). From March 14th for a month. Apartment. We count on +/- 650 euros.",
France,"Всем привет, кто может обменять доллары на евро (или на гривну на счет привата или монобанка)? Евро можно наличкой","Hello everyone, who can exchange dollars to euros (or to hryvnia to PrivatBank or Monobank account)? Euros can be in cash.",
Germany,"Здравствуйте. Подскажите пожалуйста кто знает,какая процентная ставка в Western Union за пересыл валюты?",Hello. Please tell me who knows what is the interest rate in Western Union for currency transfer?,
Spain,Підкажіть будь ласка чи можна відкрити рахунок у банку і покласти туди готівку? Чи як платити за житло,Can you please tell me if it is possible to open a bank account and deposit cash there? Or how to pay for accommodation?,
France,"Ну как вам сказать. Я в прошлом месяце заплатила 40-45 евро за лекарства на 2 ( я и 4 лет девочка). И это с рецептами. И это я относительно молода, и мы просто простудились. С учётом сниженного пособия - это весомая трата(","Well, how can I say. Last month I paid 40-45 euros for medicines for 2 people (me and a 4-year-old girl). And this is with prescriptions. And I am relatively young, and we just caught a cold. Considering the reduced allowance, this is a significant expense.",
Germany,"Не в плане хитростей.зачем мне пользоваться? Это не для начислений,обычная карту,дебетовая.Ну,она кладет что то,что то снимает,я думала может выписку как то можно получить о то,что средства на карте не покидают пределы Украины в плане входа-вывода? Не говорите пожалуйста про хитрости,если бы была цель скрыть доходы ,я бы просто этот вопрос не поднимала( обидненько🙄","I'm not trying to be sneaky. Why should I use it? It's not for calculations, it's a regular debit card. Well, it puts something, takes something off, I thought maybe you could get a statement somehow about the fact that the funds on the card do not leave Ukraine in terms of entry and exit? Please don't talk about tricks if the goal was to hide income, I just wouldn't have raised this question (offensive 🙄)",
Poland,"Привіт, а зараз всі потяги безкоштовні для Українців, чи лише по Польші. Мені потрібно в німеччині робити ще багсто пересадок чи потрібно купувати білети?","Hello, are all trains currently free for Ukrainians or only in Poland? I need to make several transfers in Germany, do I need to buy tickets? ",
Belgium,"Добрый день ,подскажите пожалуйста кто-то менял ребёнку паспорт просроченный в Посольсте?Если да то как это происходит?","Good afternoon, can someone please tell me if they have renewed their child's expired passport at the Embassy? If so, how does the process work?",
Spain,"Вы в Молдове просили убежище? При чем тут Молдова? Вы могли бы в Дубае 22го быть, и всё равно получите статус временной защиты в Испании -- если вы её попросите в Испании, и с того момента как попросите...","""Have you applied for asylum in Moldova? What does Moldova have to do with it? You could have been in Dubai on the 22nd and still receive temporary protection status in Spain - if you request it in Spain, and from the moment you request it..."" ",
Belgium,"Напрямую на карту нельзя - это две разные банковские системы. По SWIFT'у можно перевести на украинский счёт через корреспондентский счёт в другом банке. Наверное, проще и, вроде, ещё бесплатно, отправить через PayPal с выводом средств на карту ПриватБанка.",You cannot transfer directly to the card - these are two different banking systems. You can transfer to a Ukrainian account via a correspondent account in another bank using SWIFT. Perhaps it is easier and still free to send via PayPal with funds withdrawal to PrivatBank card.,
Germany,"Подскажите пожалуйста, как поменять гривни на евро, если они не наличные, а переведены на банковскую карту украинского банка не пластиковую, а на телефоне","Please tell me how to exchange hryvnias for euros if they are not cash, but transferred to a Ukrainian bank card, not a plastic one, but on a phone>",
Poland,"Нужна ,квартира или комната в Польше желательно в Варшаве А там уже ,без разницы где Главное чтобы была криша над головой","I need an apartment or a room in Poland, preferably in Warsaw. It doesn't matter where exactly, the main thing is to have a roof over my head.",
France,"Нет уже такого наплыва беженцев,вот и нет красного креста .С жильем это только у людей, других вариантов нет","There is no longer such an influx of refugees, so there is no Red Cross. Only people have accommodation, there are no other options.",
France,"Навиго можно получить на станции метро или рер, это бесплатно. Чтобы получить тариф со скидкой нужно впоследствии зарегистрироваться подать документы на сайте solidaritetransport. fr","You can get a navigation card at the metro station or railway station, it's free. To get a discounted fare, you need to register and submit documents on the solidaritetransport.fr website.",
Germany,"Добрый вечер, подскажите, нужно перевести свид о рождении ребёнка с укр на немецкий, кто делал, дайте контакты переводчика Ганновер, Брауншвайг, спасибо.",Good evening. Please advise on a translator who can translate a birth certificate from Ukrainian to German in Hannover or Braunschweig. Thank you.,
Spain,У меня подруга с мамой и двое детей едут в поезде на Львов а потом даже не знает как добраться до Польшы. Потом им нужно искать автобус или поезд в валенсию или по окрестностям. Подскажите пожалуйста как быть,My friend with her mother and two children are traveling by train to Lviv and then do not even know how to get to Poland. Then they need to find a bus or train to Valencia or the surrounding area. Please advise on what to do.,
Switzerland,"Я не понимаю , что вы имеете в виду, но беженцам с С-статусом со счетами помогают ответственные за них социальные службы, проверено на себе.","I don't understand what you mean, but refugees with C-status are helped with their accounts by responsible social services, tested on myself.",
Poland,"Думаю, боятися нема чого. Наприклад, біженці отримують безкоштовне лікування. Незабаром має бути запроваджено право на працю.","I think there is nothing to be afraid of. For example, refugees receive free medical treatment. Soon, the right to work should be introduced.",
France,"Добрый вечер! Возможно кто-то может подсказать, предусматривает ли страховка возможность заказа очков или надо их покупать самостоятельно? Благодарю.",Good evening! Can anyone advise if the insurance covers the possibility of ordering glasses or do I have to buy them myself? Thank you.,
Poland,Кто знает можно ли в Польше положить грн на карту или где поменять Гданьск/Старогард? Катетеры с грн не работают,Hello. Does anyone know if it's possible to deposit UAH on a card in Poland or where to exchange it in Gdansk/Stargard? Catheters don't work with UAH.,
Germany,"Всем 👋 Подскажите пожалуйста, кто в курсе, где выгодней всего в Германии обменять доллары на евро. А то прям обдираловка какая то с этой скрытой комиссией через банк🙈",Hello👋 Please advise where is the most profitable place to exchange dollars for euros in Germany. It seems like a rip-off with this hidden commission through the bank🙈.,
Belgium,"Здравствуйте, мы семья из Украины, мама и двое детей по 9 лет. Сейчас живём в центре святой Софии, но к первому сентябрю надо съехать, что бы переехать мы не можем найти жильё, большая вероятность оказаться на улице. Документы готовы, страховка есть. Помогите нам пожалуйста Город Льеж .","Hello, we are a family from Ukraine, a mother and two 9-year-old children. We currently live in the center of Saint Sophia, but we need to move out by September 1st and we cannot find accommodation. There is a high probability of ending up on the street. We have our documents ready and insurance. Please help us in the city of Liege.",
Switzerland,"Добрый день. Подскажите пожалуйста кто открывал счёт в UBS,по внутреннему паспорту Украины и статусам S это возможно?","Good day. Please tell me who opened an account at UBS using an internal passport of Ukraine and S statuses, is it possible?",
Germany,В Opollo optik Дают или очки бесплатно Или линзы мягкие (одну пару покупаешь со скидкой и две пары дают бесплатно ),"In Opollo Optik, they give either free glasses or soft lenses (buy one pair with a discount and get two pairs for free).",
France,"Здрастуйте, в Германии нашла такую инфо- снять наличку с карточки можно не только в банкомате, но и на кассе супермаркета во время покупки- Когда вам пробили последний продукт, вам нужно до того, как кассир нажмёт рассчет, сказать: ""Ich möchte 100... 200 (назвать необходимую сумму) Euro abheben"" Максимальная сумма 200 евро (магазины DM, Rewe , Norma HIT Netto Lidl Edeka) Может такая система есть в Франции? Спасибо","Hello, in Germany I found such information - you can withdraw cash from your card not only at an ATM, but also at the supermarket checkout during your purchase. When the last product is scanned, before the cashier presses the calculation button, you need to say: ""Ich möchte 100... 200 (name the required amount) Euro abheben"". The maximum amount is 200 euros (DM, Rewe, Norma HIT Netto Lidl Edeka stores). Is there such a system in France? Thank you.",
Poland,"Ищем жилье до конца марта или на дольше для 2 мам и 4 детей (5,5 лет, 5,5 лет, 9, 11). Рассмотрим Варшаву или близ лежащие города","Looking for accommodation until the end of March or longer for 2 mothers and 4 children (5.5 years, 5.5 years, 9, 11). Will consider Warsaw or nearby cities.",
Belgium,"Добрый вечер . Я приехала с ребёнком мамой и сестрой 1 июля. Заселили нас в Ариану, такой центр для беженцев , кормят 3 раза в день, предоставляют комнату. Туалет и душ столовая все общее. Так ничего, жить можно. Людей очень очень много , континген разный. Всё здесь ждут расселение , но как я поняла здесь за 7 дней что все очень туго.","Good evening. I arrived with my child, mother, and sister on July 1st. We were settled in Ariana, a center for refugees, where we are provided with three meals a day and a room. The toilet, shower, and dining area are all shared. It's livable, but there are a lot of people here with different backgrounds. Everyone is waiting for resettlement, but from what I understand, it's been very difficult in the past 7 days. ",
Germany,"Поделитесь пожалуйста контактами Риелторов в Берлине🙏🏼 нужно срочно найти квартиру Естественно, не бесплатно и жильё будем оплачивать сами (все с работой)","Please share contacts of realtors in Berlin 🙏🏼 urgently need to find an apartment. Of course, not for free and we will pay for the accommodation ourselves (we all have jobs).",
Germany,"Мені можуть відмовити в допомозі, так як тут чоловік працює і ми проживаємо разом. Лист про приписку нам дали один на двох. Мене цікавить тільки мед.страховка як її тут отримати?",They may refuse to help me because my husband works here and we live together. We were given only one registration letter for the two of us. I am only interested in getting medical insurance here. ,
Germany,"Fgh Ghtt: Здравствуйте, кто может помочь, нужна квартира для семьи, 3-е взрослых, 1-подросток , 2-е детей (4, 8 лет) в данный момент мы находимся в обл. Мюнхена г. Нойэтинг, помогите пожалуйста.. 😢","Hello, who can help, we need an apartment for a family of 3 adults, 1 teenager, and 2 children (4, 8 years old). Currently, we are in the Munich region, in the city of Neuetting. Please help.. 😢",
Belgium,"Я у нас так же все упиралось в жилье Будет сложно, не решите проблему , приезжайте в Румынию. В Бухаресте работа есть. Обратитесь на вокзале к волонтерам Если нужна робота. Остаться лучше в Бухаресте. Если нужен санаторный отдых с питанием жильём бесплатно, а также все средства гигиены бесплатно, тогда куда вас распределят. Если у вас есть деньги Квартиру снять, как в Украине, легко. Без ЗАМОРОЧЕК. Я , приехав сюда, была в радостном шоке То что я имею в Румынии,в Бельгии стоит все выплаты и нервы .","Hello. If you have difficulties with housing, come to Romania. There is work in Bucharest. Contact volunteers at the station if you need a job. It's better to stay in Bucharest. If you need a sanatorium vacation with free food, accommodation, and all hygiene products, then you will be assigned to a place. If you have money, it's easy to rent an apartment like in Ukraine. No hassle. When I came here, I was pleasantly surprised by what I have in Romania. It costs all payments and nerves in Belgium. ",
France,"Если на ребёнка не дали никаких документов ни временной защиты, ничего так как он с тётей, а это надо доверенность котор в Украине перед отъездом не сделали, вопрос будут ли проблемы когда они будут возвращаться в Украину?","If no documents or temporary protection were given for the child, it's okay because he is with his aunt, and a power of attorney was not made in Ukraine before leaving, the question is whether there will be problems when they return to Ukraine?",
Spain,Вопрос к знатокам)) Дано: Одно свидетельство о рождении апостилировано и значит его нужно просто перевести. С Укр на испанский. 2 свидетельства требуют перевода присяжным переводчиком с Укр на испанский. У кого есть контакты и что по ценам?,"One possible output could be:

Question to experts)) Given: One birth certificate apostilled and therefore just needs to be translated. From Ukrainian to Spanish. 2 certificates require a sworn translator from Ukrainian to Spanish. Does anyone have contacts and what are the prices?",
France,"Пытаюсь узнать,как добраться,говорили,что есть до Германии,а там пересадка,но сейчас ,наверное отменили бесплатные поезда?","I am trying to find out how to get there. They said there is a way to get to Germany, but there is a transfer, and now, probably, free trains have been canceled. ",
Germany,Я это сто раз писал. Нет возможности перевести деньги на кредитную карту. Это закон в Германии и имеет смысл.,I have written this a hundred times. There is no way to transfer money to a credit card. This is the law in Germany and it makes sense. ,
Switzerland,"Ребята, добрый день! Кто едет из Украины в Базель или рядом… Очень прошу помощи!!! Привезите пожалуйста наш- ЦЫТРАМОН! Можно в личку написать! Расчитаюсь! Благодарю Елена",Hello guys! Who is traveling from Ukraine to Basel or nearby... I kindly ask for help!!! Please bring our - CITRAMON! You can write me in private! I will pay! Thank you Elena.,
Germany,Подскажите пожалуйста в джоб центр нужно давать распечатки движения средств на украинских картах (не зарплата или пенсия) или только с немецкой карты?,"Please tell me, do I need to provide printouts of transactions on Ukrainian cards (not salary or pension) or only on German cards at the job center?",
France,"Добрий день , можливо хтось має контакти нарахунок студії, яку можна знімати для сім’ї з України, нас двоє дор і дитина 5 років, потрібно терміново, в межах 3 зони, але розглянемо різні варіанти, пишіть в особ повідомлення, чекаю відповіді, дякую!","Good day. Maybe someone has contacts regarding a studio that can be rented for a family from Ukraine, there are two adults and a 5-year-old child, it is urgent, within the 3rd zone, but we will consider different options, write in a personal message, waiting for a response, thank you!",
Switzerland,"а для чего им безработные например? в бюджете есть сумма на такие экстренные непредвиденные обстоятельства, вот они и потратят это, а дальше незачем содержать беженцев","""What are unemployed refugees for, for example? There is a sum in the budget for such emergency unforeseen circumstances, so they will spend it, and then there is no need to support refugees."" ",
France,"Добрый вечер. Подскажите, знаю что если у ребенка другая фамилия чем у мамы, то нужно переводить свид о рождении. Могу ли я это сделать в Украине и заверить нотариально? И еще апостиль обязателен? Будет ли он катироваться во Франции ?",Good evening. Can you tell me if I need to translate and notarize my child's birth certificate if their last name is different from mine? Can I do this in Ukraine? Is an apostille necessary? Will it be valid in France?,
France,"Да, сначала refugees forum потом префектура. Вот в этот форум около недели стоят, но прибывают и прибывают, не тяните ,запишитесь.","Yes, first the refugees forum and then the prefecture. They have been standing at this forum for about a week, but more and more are arriving, don't delay, sign up.",
Germany,"Здравствуйте, можете пожалуйста кто нибудь ответить. Можно ли поехать в Германию и не брать статус беженца, но оформить ребёнка в детский садик и пойти на курсы немецкого языка бесплатно и пойти на работу (завод) без знания языка. Паспорт биометрика ребёнку 5 лет не вписан в паспорт. Нужно ли вписывать в биометрику или же достаточно свидетельство о рождении? Сама вдова.","Hello, can someone please answer. Is it possible to go to Germany and not take refugee status, but register a child in a kindergarten and attend free German language courses and work (factory) without knowing the language. The child's biometric passport is not included in the passport. Do I need to include it in the biometrics or is a birth certificate sufficient? I am a widow myself.",
Portugal,"Инсулин выдают бесплатно, надо после получения NISS обратиться в медицинский центр по месту регистрации, там выписывают рецепт, в аптеке выдают бесплатно.","Insulin is issued for free, you need to apply to a medical center at the place of registration after receiving NISS, they issue a prescription there, and the pharmacy issues it for free.",
Switzerland,"Привіт! Питання від моєї подруги, хто знає напевно - напишіть будь-ласка: Чи можна відкрити рахунок депозитний українцям без документів на проживання в Швейцарії? Якщо маєш можливість, буду дуже вдячна 🙏","Hello! A question from my friend, if anyone knows for sure - please write: Is it possible for Ukrainians to open a deposit account without residency documents in Switzerland? If you have the opportunity, I would be very grateful 🙏",
France,"Здравствуйте , помогите пожалуйста по инфо заполнения на бесплатный проезд на поезда, что нужно туда записывать?","Hello, please help me with filling out the information for free train travel, what do I need to write there?",
Poland,Будем в Кракове 14 марта Ищем арендовать квартиру 3 комнаты ( 2 спальни ) Нас 3 взрослых ( женщины ) и 2 детей (11 лет и 2 годика ) + собака маленькая Кто может помочь с арендой квартиры напишите пожалуйста 🙏🏻,"We will be in Krakow on March 14th. We are looking to rent a 3-room apartment (2 bedrooms). There are 3 adults (women) and 2 children (11 years old and 2 years old) + a small dog. If anyone can help with renting an apartment, please write 🙏🏻",
Germany,"Здравствуйте Подскажите пожалуйста, надёжного перевозчика Нужно посылку отправить из Одессы в Германию (Нижняя саксония) Заранее благодарю за помощь",Hello. Please advise a reliable carrier. I need to send a package from Odessa to Germany (Lower Saxony). Thank you. ,
Belgium,"Хто небудь користувався потягом Thalys? На сайті квитків немає аж до неділі вперед 👀 можливо в касах є, хто юзав?","Has anyone used the Thalys train? The ticket website doesn't have any available until Sunday 👀 maybe they have some at the ticket offices, has anyone used them before?",
Portugal,If you have a valid vaccination certificate you should not need the test but please double check.. don't forget you need to submit the Passenger Locator Form -> https://portugalcleanandsafe.pt/en/passenger-locator-card,"If you have a valid vaccination certificate, you should not need the test, but please double-check. Don't forget you need to submit the Passenger Locator Form -> https://portugalcleanandsafe.pt/en/passenger-locator-card",
Spain,"Я не знаю насчёт статуса временное убежище, но вот если по беженству подаваться, и приходит положительный ответ, дают внж на 5 лет, и все эти 5 лет человек не имеет право въезжать в Украину. Возможно и с временным убежищем так же. Но там сроки 1 год","If you apply for asylum and receive a positive response, you will be granted a residence permit for 5 years, during which time you will not be allowed to enter Ukraine. The same may apply to temporary asylum, but the duration is 1 year.",
